,t,x,y,energy
87,593.44,1.2320678002006114,0.056435408080839286,44.34576860278672
88,593.8,1.2108754346623682,0.06909154889190702,43.969646014142526
89,594.15,1.1906667797436037,0.08190009220605625,43.60339146827759
90,594.48,1.171446492179728,0.09377004364440422,43.258299684504564
91,594.81,1.1525409936747824,0.10604743827390636,42.91267992240413
92,595.13,1.1340807555116792,0.11793052705688414,42.57716250187764
93,595.47,1.1146737006375111,0.13063485311971784,42.2210973565921
94,595.79,1.0962432479174482,0.14255167588981824,41.88554753135334
95,596.12,1.0718334822990117,0.14691817452605982,41.53951177407587
96,596.45,1.047423716680575,0.1512846731623014,41.1934760167984
97,596.8,1.0215345713276878,0.15591580807952735,40.826468395443506
98,597.14,1.044112503414534,0.16536441407265323,40.469946706127324
99,597.47,1.0659661315155378,0.17470381986717295,40.12363253001827
100,597.82,1.0892797689485365,0.18442867359718054,39.75632961596322
101,598.15,1.1116210556195754,0.19322457413970842,39.40963159887524
102,598.5,1.1355453246849516,0.20221527853705473,39.04193180779153
103,598.86,1.1602930901143353,0.2112611176557438,38.66369613233569
104,599.22,1.1852503611581244,0.2201106838198418,38.285097495572465
105,599.55,1.2081360460795543,0.22829046084815693,37.93782751903827
106,599.89,1.231605608565722,0.23698965037096245,37.57974878187439
107,600.23,1.2547496132551919,0.24617329845657618,37.22164929507125
108,600.58,1.2785091192406186,0.25555702851049167,36.85350346215617
109,600.92,1.3017317300121838,0.2645484870978888,36.495639322423315
110,601.29,1.3273735525295718,0.27389891073779704,36.10585603508756
111,601.63,1.2738536256503046,0.28214751202924676,35.74770849244225
112,601.99,1.248626255905798,0.2907075964663157,35.36871096001657
113,602.33,1.224666177266232,0.2986706148994077,35.01049859765555
114,602.67,1.2009130734782936,0.3068399499981064,34.65264925470559
115,603.01,1.1774064291412927,0.3153918919436067,34.29482507627715
116,603.36,1.1530206503904243,0.3238500571273536,33.926608283237236
117,603.73,1.1269263066793334,0.3324193297442045,33.536949092693426
118,604.08,1.1019931081449752,0.34027310112602227,33.167888997789994
119,604.43,1.0773087393343692,0.34871365385746816,32.79841675835238
120,604.77,1.0530578680238585,0.3566438774414344,32.43901104369897
121,605.12,1.0283859336254122,0.36508213970021436,32.06959919213861
122,605.46,1.00418097056664,0.3727949626707075,31.710945977677937
123,605.8,0.9801846627453827,0.380906655448038,31.35218660633656
124,606.14,0.9560750025170328,0.3887015927712143,30.993747179496008
125,606.48,0.9562810002960149,0.4083918128962054,30.635307752655457
126,606.83,0.9566120465998142,0.4287510740395618,30.265744826026364
127,607.18,0.9568389190306257,0.44906727059227813,29.896462641396997
128,607.52,0.9576738064471171,0.4687785759615875,29.537828512095295
129,607.86,0.9584208653107898,0.48841194504789004,29.179705654809645
130,608.2,0.9610055983468152,0.4688664817386459,28.821582797523995
131,608.54,0.9635903313828406,0.44932101842940175,28.463459940238344
132,608.88,0.9661750644188659,0.42977555512015764,28.105337082952694
133,609.22,0.9687597974548913,0.4102300918109135,27.747214225667044
134,609.55,0.9717983977898718,0.39126033837691765,27.399352522304447
135,609.88,0.9596556207561852,0.37446432090494897,27.05149081894185
136,610.21,0.9475128437224984,0.3576683034329803,26.703629115579254
137,610.56,0.9346341408079825,0.33985434550816507,26.334684884740135
138,610.9,0.9221234008338811,0.32254935780977306,25.976281917639277
139,611.25,0.9090074614691633,0.3048958714751432,25.607689152015087
140,611.63,0.8940564863051305,0.28595401767228623,25.207050577163788
141,611.98,0.8800855884160185,0.2686299939986875,24.838220093014744
142,612.33,0.8654884266757139,0.2515097052498344,24.468909028758503
143,612.68,0.8512471389657504,0.23429610173037146,24.100003133740834
144,613.03,0.8780685885118599,0.2366907235292604,23.731097238723166
145,613.38,0.8553618237622636,0.24766194819370718,23.362191343705497
146,613.75,0.8313575295984046,0.2592600999818367,22.972205111829677
147,614.11,0.8080020001416769,0.27054478820812483,22.592759048382934
148,614.47,0.7846464706849492,0.28182947643441303,22.21331298493619
149,614.83,0.8120768798212858,0.28513654945284345,21.83386692148945
150,615.18,0.8387453331482798,0.28835175933187307,21.46496102647178
151,615.52,0.8646518306659311,0.2914751060715018,21.10659529988319
152,615.88,0.8920822398022678,0.29478217908993215,25.727149236436446
153,616.23,0.91864532205316,0.29857692055469714,25.358100088027005
154,616.61,0.9474982715636918,0.3023836682737441,24.957717884535736
155,616.98,0.9755733043901176,0.3061427192353937,24.567901489305907
156,617.33,1.0021894622168397,0.30959580547821214,24.198992624924646
157,617.68,1.0286550617397536,0.31364968683011446,33.8300814376322
158,618.04,1.0560151348581925,0.31732241576095255,33.450576342100554
159,618.39,1.0825602488883836,0.32144241476700247,33.081206090616064
160,618.74,1.1091187677096732,0.3250901488435104,32.71235123802397
161,619.1,1.1365797945798766,0.32853039762583713,32.33262229319411
162,619.45,1.163382979312496,0.33148029758536735,31.96333520392652
163,619.8,1.19008059392475,0.33496133772388115,31.594010528011665
164,620.16,1.2175714833913203,0.33890618154749264,31.213570936469
165,620.51,1.2442199964151803,0.3430215822577495,30.84372056737195
166,620.86,1.2709920961481087,0.3465935229984301,30.473942997273877
167,621.21,1.297657125830469,0.3503735795131487,30.10443059959918
168,621.59,1.3266602723225538,0.3542449499540092,29.703266415800073
169,621.97,1.2692726555659373,0.35769738954131725,29.30224425155732
170,622.34,1.2471779349039793,0.34401272921526804,28.911775302163058
171,622.7,1.2256803688545064,0.3306979245737066,28.531859567617293
172,623.06,1.2041828028050336,0.31738311993214513,28.151943833071527
173,623.42,1.182685236755561,0.30406831529058365,37.77202809852576
174,623.81,1.1596075946084028,0.28953301227815864,37.360778090814286
175,624.19,1.1371874603906764,0.275365836543774,36.96029572136825
176,624.54,1.1169554770673942,0.26187804911512236,36.59110909641813
177,624.9,1.0963018319223679,0.24784813751765822,36.21126301309459
178,625.25,1.0765031673090384,0.2338858120957513,35.84156214871887
179,625.84,1.0438384286152378,0.2098910584138578,35.21878081761954
180,626.44,1.0114283658207381,0.184984168796623,34.585895529524805
181,626.81,0.9915996378602703,0.16941951372027297,34.19519567511216
182,627.15,0.9737309029616211,0.1547643834603295,33.835680816736705
183,627.5,0.9555778496875948,0.13963365278299686,33.466158703314484
184,627.86,0.9370306183779786,0.12405678160784846,33.0864117166532
185,628.21,0.9195211843684555,0.1084970643714371,32.716849568308334
186,628.56,0.9024538211079812,0.0927423709168466,32.347679741297284
187,628.92,0.8844215168053283,0.07682366193949822,31.96790651731825
188,629.27,0.8663306164393881,0.06159229874192732,31.598103562271334
189,629.62,0.8478738319025262,0.046527535089173025,31.22791298485018
190,629.97,0.8290180051914301,0.03184411190211645,30.85818761243362
191,630.32,0.8106856700368171,0.016747483746106007,30.48824976829173
192,630.67,0.7928775210248492,0.0013842498159784833,30.118709865452796
193,631.02,0.7752941310246971,0.04543961470025411,29.748849392259476
194,631.37,0.7580029199848792,0.061298559129397454,29.378483536277546
195,631.73,0.7406154896322638,0.07778802491255263,28.997847685199652
196,632.12,0.7224266947406599,0.09594198270482028,28.5859183535231
197,632.49,0.7048916415143246,0.11306043967849447,28.194836016808267
198,632.85,0.6878829178970295,0.12985291720733358,27.813781059226514
199,633.21,0.6710040374167395,0.14661718039211274,27.433246341426987
200,633.56,0.6542398437166272,0.16272057596677075,27.063237488074204
201,633.96,0.634817401356736,0.18106512616358864,26.639886503032436
202,634.33,0.6174402143422811,0.19848466896468314,26.247726428594444
203,634.68,0.6012484711849204,0.21519213273024812,25.876283192281285
204,635.03,0.6097008604201896,0.2348498228473621,35.50483995596812
205,635.38,0.6179640399461963,0.2544885967375205,35.133788090768824
206,635.73,0.626817789336451,0.2739833863449793,34.76272821556213
207,636.07,0.6352251874559832,0.2929584992046922,34.402339703965
208,636.42,0.6445472683764248,0.3123921238880254,34.03090633913594
209,636.78,0.6284210683050768,0.3298560720432193,33.64886059245462
210,637.15,0.6118469182317469,0.34780512986939083,33.25620246392104
211,637.51,0.5957207181603987,0.36526907802458475,42.87415671723972
212,637.87,0.579949516189309,0.3829754552935429,42.49178645902628
213,638.25,0.5639697839267318,0.4020714152656494,42.08773501208228
214,639.07,0.5284491860640843,0.44269190784285317,41.21630349279159
215,639.87,0.5911893658370992,0.4483352045952774,40.366126400800674
216,640.27,0.6226268569414792,0.4507420997319664,39.94100913657627
217,640.63,0.6508494361317623,0.4533792844006858,39.558403598774305
218,640.98,0.6782021439309687,0.4559618318440203,39.186820361177126
219,641.33,0.7055828644177422,0.4582735408139489,38.81530881655815
220,641.69,0.7337664189965051,0.460165313048147,38.43339725151143
221,642.05,0.7618895081310543,0.4624775917799672,38.051507893041304
222,642.44,0.7924394599631444,0.4651505632252566,37.63727636592024
223,642.82,0.8222339178617271,0.4672378682136181,37.23387895928779
224,643.19,0.8511370780859105,0.46919970842935327,36.84165116716864
225,643.56,0.8801795046632946,0.4708675653499933,36.448913824569956
226,643.93,0.9093759200217825,0.47215718845158045,36.05560257560159
227,644.3,0.9386611999966734,0.4730231689640151,35.66199839386753
228,644.66,0.9500755761709015,0.49262200441000836,35.27903216299114
229,645.02,0.9614899523451297,0.5122208398560015,34.89606593211476
230,645.38,0.9729043285193578,0.5318196753019948,34.513099701238374
231,645.72,0.9836845726839065,0.5503296865565439,34.151409372077346
232,646.08,0.9954223965259585,0.5697285435027838,33.76898080942573
233,646.44,1.0072853306760783,0.5890000270649401,33.38704353268485
234,646.81,1.0188483508589903,0.6091020811769987,32.99400310371496
235,647.17,1.0298826225871858,0.6286429881445931,32.61209838525516
236,647.52,1.0413767437411756,0.6473587115054692,32.24096824700244
237,647.88,1.0538371332937113,0.6663478061532213,31.859428050776916
238,648.23,1.0665336627191009,0.6844983272974008,31.488994774523817
239,648.6,1.0796925900514247,0.7037811601177404,31.09743435932165
240,649.34,1.1054763131441483,0.7424960302787413,30.31461825342052
241,649.72,1.1187921326071735,0.7064595702688468,29.912962047151428
242,650.09,1.131926360488123,0.6872982928779212,29.522147943688395
243,650.45,1.144896134560711,0.6687637836410365,29.142093293289875
244,650.81,1.1584626036932293,0.6504127343185097,28.76171194350587
245,651.16,1.1714520472286358,0.6324885685966027,28.39189422944737
246,651.52,1.1843767533456315,0.613776742136963,28.010933342464725
247,651.88,1.198007075210729,0.5953778791049693,27.630135694854804
248,652.23,1.211386889190854,0.5775593341578584,27.260002280915504
249,652.61,1.210752796455311,0.5553616645361031,26.858143145781405
250,652.98,1.2101353903707037,0.5337481441149203,26.466859251045573
251,653.35,1.2095179842860966,0.5121346236937374,26.07557535630974
252,653.73,1.2088838915505538,0.4899369540719821,25.673716221175642
