,t,x,y,energy,sight
1866,109.034,0.13843009148072025,0.4856586375172213,20.0023736371305,25
1867,109.108,0.1411053800675582,0.48795578815581814,19.96747263864441,25
1868,109.18,0.14375915503862444,0.4901021595288887,19.933628629828963,25
1869,109.252,0.14640573773837467,0.49228136426072727,19.89968742361975,25
1870,109.328,0.14917795250878746,0.49457776571397494,19.863981970880374,25
1871,109.402,0.15191014484113,0.49677228217297653,19.82922051583518,25
1872,109.472,0.1544292431496126,0.49892148322875174,19.79636132257905,25
1873,109.548,0.15716344905878854,0.5012811084830168,19.760580363871828,25
1874,109.622,0.15986796744397508,0.503530764523824,19.72573269650375,25
1875,109.694,0.16248536194008797,0.5057138546074049,19.69191945691713,25
1876,109.77,0.16523203291762384,0.5080492229207574,19.656178907060436,25
1877,109.84,0.16776962536000034,0.5101827201078074,19.623294347843967,25
1878,109.918,0.17062266378700935,0.5125503871142087,19.586566245073747,25
1879,109.99,0.17326428368729047,0.5147099760233091,19.55272922378167,25
1880,110.062,0.1759676414504312,0.5167892112360006,19.518902162633093,25
1881,110.132,0.17864425769243092,0.5187519802915835,19.485992955103875,25
1882,110.206,0.1815279945307971,0.5207759755378383,19.451111544435523,25
1883,110.282,0.18453359359805688,0.5228236522764897,19.415169101246622,25
1884,110.356,0.18748203050388712,0.5248174168758849,19.380056462810074,25
1885,110.428,0.19027779197973843,0.5268307970269378,19.346006645189778,25
1886,110.502,0.1931772270585409,0.5288421736832045,19.311089054980936,25
1887,110.574,0.1960405325522898,0.5307684206086642,19.277003077291898,25
1888,110.648,0.1989311641614348,0.5327942050917869,19.242078964277667,25
1889,110.718,0.20163049852285203,0.5347472553324877,19.209088854448954,25
1890,110.788,0.20431072672222617,0.5367242411025526,19.176107116834043,25
1891,110.858,0.20700675497359783,0.5387026632137843,19.143038480426643,25
1892,110.93,0.20973679408944745,0.5407969195096622,19.109017436346893,25
1893,111.0,0.212425793721649,0.5427941296057119,19.075913571353677,25
1894,111.07,0.21514479138308706,0.5447452594726226,19.04282854565983,25
1895,111.144,0.21804451319484816,0.5467670542737483,19.007871379067968,25
1896,111.216,0.22092671522807006,0.548661674776278,18.97379678224834,25
1897,111.286,0.22371121999718996,0.5505462057675028,18.94061152637241,25
1898,111.356,0.22655505212047028,0.5523452753166567,18.907408091920946,25
1899,111.428,0.229503902094301,0.554150416202951,18.873280144178388,25
1900,111.5,0.2323968952475755,0.5560093401215342,18.839272138634538,25
1901,111.576,0.2354686198166704,0.5579297982242709,18.803420460619662,25
1902,111.648,0.23838878405258698,0.5597010788976665,18.769562053125977,25
1903,111.718,0.2412743287283184,0.5613618311938291,18.736587647531675,25
1904,111.792,0.24428454167864624,0.5631997295876886,18.70168194651325,25
1905,111.862,0.2471871364614294,0.5648613702127154,18.66861007245704,25
1906,111.942,0.2505409909057768,0.5667246060385549,18.630722092253023,25
1907,112.016,0.25368376615720256,0.5684007153795858,18.59559327524826,25
1908,112.088,0.2567495931511679,0.5700018651804737,18.561457252785303,25
1909,112.16,0.2598460501632319,0.5715374421174932,18.527336902355497,25
1910,112.232,0.26289022316032046,0.5731487585723837,18.493293263932678,25
1911,112.306,0.26605091374317297,0.5747011534520017,18.458423300595243,25
1912,112.376,0.2690582165009508,0.5761013733165998,18.425525907893643,25
1913,112.448,0.2721258878010341,0.5775607214975768,18.391784452907995,25
1914,112.52,0.2751811073678612,0.5790118661487049,18.358137511417222,25
1915,112.59,0.27818381881179827,0.580383750929016,18.325342755278214,25
1916,112.66,0.2811582608249169,0.5818146416180474,18.292551479705114,25
1917,112.732,0.2842491458013584,0.583254077704922,18.25872987637791,25
1918,112.802,0.28724554031950084,0.5846600068422871,18.22588025689348,25
1919,112.874,0.2903202768821133,0.5861640907497911,18.191973669856512,25
1920,112.95,0.29358688422842205,0.5877454971091227,18.15607970261542,25
1921,113.024,0.2967994661508536,0.5891927688861008,18.121195764073633,25
1922,113.096,0.2999104960513836,0.5906176136628236,18.08729626797709,25
1923,113.168,0.303074354674834,0.5919523913332815,18.053319341889594,25
1924,113.24,0.3062086878822821,0.5933474639372578,18.019362330472653,25
1925,113.312,0.3093651169280466,0.5946724314376365,17.985453584096142,25
1926,113.388,0.31270029407899447,0.5961123149449766,17.949537494855704,25
1927,113.46,0.3158683712064073,0.597482332243377,17.91544714589952,25
1928,113.538,0.31929975636584657,0.5989858127928327,17.878470745449068,25
1929,113.612,0.3225313517898598,0.6004438729254156,17.843447495505252,25
1930,113.684,0.32563981619441834,0.6019520744132166,17.809335312413946,25
1931,113.756,0.3287443674263867,0.6034429650734282,17.77529384499263,25
1932,113.832,0.3320450096959086,0.6049437204142418,17.739421987417064,25
1933,113.904,0.33519912571652355,0.606267979812562,17.705528644606655,25
1934,113.98,0.33848373110071583,0.607732182831787,17.66984641488918,25
1935,114.052,0.3416181695786519,0.6090670491228087,17.63604262592583,25
1936,114.124,0.3447788561749118,0.6103642646759933,17.60217680516188,25
1937,114.196,0.34793637080574386,0.6116328593324387,17.568398712875002,25
1938,114.27,0.351175581343007,0.6129629705196544,17.533654702611887,25
1939,114.34,0.35425311868768583,0.6142278829671376,17.500693013655233,25
1940,114.414,0.3575127228048408,0.6155532178752714,17.465839743929312,25
1941,114.488,0.36079224657076125,0.6168696126929925,17.430889702115657,25
1942,114.562,0.3640338317985408,0.6182389146116579,17.396035222067095,25
1943,114.638,0.3673460422973699,0.6196377203901389,17.360357554989033,25
1944,114.716,0.37077851974569753,0.6210163147325443,17.323684108290042,25
1945,114.79,0.374054946519024,0.6222455294911906,17.288954486053754,25
1946,114.866,0.3774034333970777,0.623534243078527,17.25332515176099,25
1947,114.942,0.3807630990894786,0.624794241809717,17.217694209206666,25
1948,115.018,0.38415954409592085,0.6259931286463978,17.181975840330534,25
1949,115.092,0.38743773432136097,0.6272383383471033,17.147199505207446,25
1950,115.166,0.39074631207806354,0.6283983647537363,17.112427487073884,25
1951,115.238,0.3939748863321097,0.6295183089140117,17.07855674146676,25
1952,115.312,0.3972839245459939,0.6307488388503655,17.043628654465362,25
1953,115.388,0.4006543715375635,0.6320733405840004,17.007785310735965,25
1954,115.46,0.40380016068889735,0.6333978103306411,16.973940572676394,25
1955,115.538,0.4072401709049675,0.6347686449604152,16.9372408119538,25
1956,115.618,0.4107737723770368,0.6361229322479162,16.899688375563095,25
1957,115.69,0.41397818133913944,0.6372947404362451,16.865851925177488,25
1958,115.768,0.41748702126367326,0.6385172349347353,16.829071424573172,25
1959,115.84,0.4207332155970295,0.6396220877707426,16.79512541728466,25
1960,115.918,0.42422764133973245,0.6408264174592334,16.758470146937167,25
1961,115.992,0.42754208251075027,0.6419218617560956,16.723795845919085,25
1962,116.066,0.43085820659482454,0.6429895266901902,16.689166445265318,25
1963,116.142,0.43425344628389456,0.6440775886279346,16.653681708497572,25
1964,116.216,0.43755120300042954,0.6451252681363725,16.619203236036217,25
1965,116.294,0.44101851398580544,0.6462183365994869,16.582935874180098,25
1966,116.368,0.4443228973119141,0.6472044441142073,16.548532878620833,25
1967,116.442,0.4476221629438021,0.6482460350645471,16.514056964599956,25
1968,116.518,0.45100171850258475,0.6493746205919163,16.478586979321204,25
1969,116.592,0.45430675840209567,0.6504496313712697,16.444010596377712,25
1970,116.666,0.45759970831182795,0.6515209101277482,16.409515182765798,25
1971,116.74,0.46092715961326514,0.6525239607909918,16.37493962308384,25
1972,116.816,0.464358528482031,0.6534490341406454,16.3395281334562,25
1973,116.89,0.46770935676389236,0.6543754562048135,16.304944964700667,25
1974,116.964,0.4710831538498016,0.6552603431582573,16.27028899312003,25
1975,117.036,0.4743679345386137,0.6560911051849442,16.236604465445375,25
1976,117.112,0.4778215177070906,0.6569649958520677,16.201138234117895,25
1977,117.186,0.4811683452037522,0.6579085647342837,16.16655021645558,25
1978,117.26,0.48449749578602824,0.6589405827892711,16.131910055304687,25
1979,117.368,0.4893848330901419,0.6604034313313607,16.08126002278769,25
1980,117.44,0.4926318233992267,0.6614180682932566,16.04748832312662,25
1981,117.516,0.49605376110118815,0.662515474668183,16.011822618750394,25
1982,117.592,0.4994987028120047,0.6635580262489029,15.976120808427192,25
1983,117.668,0.5029107359552559,0.6646890853955252,15.940448598669406,25
1984,117.744,0.5063591183018776,0.6657381004682221,15.904713706242106,25
1985,117.82,0.5098207948730599,0.6667753935681827,15.868919046131557,25
1986,117.892,0.5131104786641457,0.6677671492882349,15.834929109136581,25
1987,117.972,0.5167781526091346,0.6687534293199807,15.797288764140768,25
1988,118.046,0.5201617347071651,0.6696568907116969,15.762541839227643,25
1989,118.122,0.5236597322101704,0.6704820836988421,15.726873488868694,25
